NCHS,pop,cd10_early_median,cd10_early_q05,cd10_early_q95,cd10_actual_median,cd10_actual_q05,cd10_actual_q95,cd10_late_median,cd10_late_q05,cd10_late_q95,cd20_early_median,cd20_early_q05,cd20_early_q95,cd20_actual_median,cd20_actual_q05,cd20_actual_q95,cd20_late_median,cd20_late_q05,cd20_late_q95,cd30_early_median,cd30_early_q05,cd30_early_q95,cd30_actual_median,cd30_actual_q05,cd30_actual_q95,cd30_late_median,cd30_late_q05,cd30_late_q95,cdmay1_early_median,cdmay1_early_q05,cdmay1_early_q95,cdmay1_actual_median,cdmay1_actual_q05,cdmay1_actual_q95,cdmay1_late_median,cdmay1_late_q05,cdmay1_late_q95
1,93305294,791.1307125860098,689.3547056894116,928.3878623872587,786.2619350846717,743.7629359415599,825.5447883887778,785.1612358813004,743.850704038837,825.92696569176,4333.3443409310585,3665.7598837711257,5269.285698130128,5550.062917270361,5414.140275954387,5689.089564609375,6016.190270033849,5673.344687861695,6398.691175719792,9883.08848204705,7882.781083048923,12772.158012980235,15969.481123956428,15684.944110388582,16287.173820722694,22301.090558812193,19415.946226204615,25485.314229914973,13037.783461305036,10030.3595780844,17112.629561627484,25885.676328704092,25012.54436658567,26915.466701660876,39628.14654138939,32018.545268492486,48823.69064173937
2,42431583,523.1713108596011,430.7218374180414,642.0996171994966,668.779845121082,630.9075213756568,708.6551148815693,706.068487427723,650.5937304379584,774.751539766463,1729.6184806500582,1381.8973456693875,2182.9165563508345,3056.8213075543845,2965.657855813719,3150.320159419939,4073.7692238776654,3593.844851753028,4639.840284015967,3022.0071210247465,2333.2719409504743,4037.988179044146,6868.574490881872,6676.037201315514,7085.324884245128,12128.891852913233,9846.408441078293,15021.55903682788,3500.46130378609,2647.5156736081303,4892.4710783454375,9727.688745609099,9185.595055225309,10430.789037611416,18183.47620118159,13938.475847803593,24117.5119769326
3,36663864,372.1041831687111,279.0530938171288,485.5458352859872,460.6623454376818,432.489745912727,493.7949061262057,488.4778953920491,440.3127059707866,548.0647043587229,968.2035046853133,715.8351732164014,1275.1210795468558,1694.38633892384,1625.41917821724,1766.4863967643125,2297.208578607375,1942.5044632442225,2794.924994219791,1400.3747387704614,1017.1289782312215,1985.101053697347,3272.2156931036507,3091.8759151831555,3464.3475259628462,5260.195789435824,4291.362236590138,6862.96295366273,1609.6348514253116,1122.5991247919317,2437.2941619451462,4437.75141104746,4019.1674364609294,5083.568167578377,7193.647337020689,5666.313740133492,9887.308905461161
4,7170252,266.7153987661897,178.24274005200544,408.9903722309966,193.64849671275516,172.77952565431113,215.530020291541,150.0628034973123,124.1455923424207,182.43972069914545,627.2443715285908,409.8828798421183,1009.8693349298336,541.0560969406131,496.5767609918735,594.5317042537852,436.8171292091843,339.4742792478859,574.2611159222455,839.8216822403931,519.8575459601931,1491.7495960180938,832.5587972282144,743.8249202419497,971.7846832880143,704.4844248582942,514.3689333203008,976.4553638757322,890.6417828126584,540.2534503998224,1634.3370281143157,917.2406064860959,801.2404503760342,1095.2049801015607,744.7688555561758,535.3574274312148,1052.990537540424
5,2387336,137.08001502215308,86.68501259429958,211.28534549107664,126.64476297956186,110.87738064211457,145.95215942418125,95.50918397597005,73.31306637144455,127.88994629886521,235.51441425136753,153.18211056585972,363.2550438216875,346.05223760249646,312.7344056518806,385.3608564099037,328.2470634191367,241.2337179800818,459.94494909205434,298.34445617921483,192.5158606089072,480.4003705405467,530.6778893194501,461.40479760231534,660.3854499285043,698.7373869558542,496.71468146403953,1016.6970472423828,294.16694331327244,189.80855706335092,479.5012803487485,534.3305184027977,460.59494379905266,669.1246787974861,648.1744780957173,456.8296214337549,903.8540919394516
6,394208,144.8584605159541,50.5664895311369,561.1487016532383,37.601234950976576,28.019548278636734,48.552011065129456,13.317246818918443,7.033944869634594,23.49306222264638,289.7689759476608,89.62701195057424,3459.213293506389,106.8694558979067,69.10471176045935,306.2158681737274,31.995425178915177,15.701344523103309,69.76027050933585,395.62491074981926,100.80086824182928,28176.277003060724,184.97041635101994,96.63974083347667,3329.11746440875,72.65077456447455,27.0401161150505,258.09385981773096,394.8716751275365,100.02101303446095,18310.184310902183,162.18098693015077,92.15667299009095,622.2391073636837,41.333139489156395,19.209440221102273,112.28330903956879
