NCHS,pop,cd10_lma_median,cd10_lma_q05,cd10_lma_q95,cd20_lma_median,cd20_lma_q05,cd20_lma_q95,cd30_lma_median,cd30_lma_q05,cd30_lma_q95,cdmay1_lma_median,cdmay1_lma_q05,cdmay1_lma_q95,cd10_ame_median,cd10_ame_q05,cd10_ame_q95,cd20_ame_median,cd20_ame_q05,cd20_ame_q95,cd30_ame_median,cd30_ame_q05,cd30_ame_q95,cdmay1_ame_median,cdmay1_ame_q05,cdmay1_ame_q95
1,93305294,-0.6557918145618495,-9.610205741726501,9.178052917436993,475.3596677131312,155.457534385881,790.808648464951,6303.1262860211045,3486.4821480190726,9498.090018872444,13769.474453013569,6505.698638065776,22709.462421985943,-6.126967253455717,-129.01368036081234,82.26204210659284,1210.8238359333836,284.28439848356476,1871.7813881642073,6119.198631429843,3264.5435700479466,8065.013504696748,12938.172112210428,8527.568458954502,16177.758787864326
2,42431583,37.500252107019634,-4.375155353502003,91.11838442934828,1005.1422082853462,542.3381583663645,1550.7554890060803,5245.27654303792,2942.3149542331885,8060.4013195656225,8428.72508356733,4142.700029846358,14341.088378984537,145.3572489394215,33.80805876817363,237.10672594131236,1319.8150382247377,878.6336261575427,1680.3247383141236,3854.4482570656755,2883.4891111637453,4510.341785719183,6192.2575389913145,4937.308644475413,7243.105213629468
3,36663864,25.403499084489184,-10.216157986140383,72.69508867728076,608.443536864714,242.75689108668533,1117.4705765982446,2021.4062374418272,1022.4851474361992,3572.5763269456806,2761.888055494617,1158.0463669545675,5336.367297963052,86.3771363124579,-19.137824328686385,178.00474345376293,722.3366515597347,415.0481368089476,983.6640244375999,1851.9268689853102,1382.67042016758,2230.6762120510484,2786.423227993364,2135.7673075653265,3456.9645801861784
4,7170252,-44.50069951701482,-64.84148727246652,-16.915090123028296,-104.98279628125059,-199.9802345227975,29.40096238225499,-132.44865568913855,-348.4744646992505,148.1398153273838,-180.79658876035165,-419.8237423459171,131.45418149054012,-70.95318302208575,-208.33770543518494,10.966084207057543,-87.91743900320213,-446.5681941686333,129.05214142689738,-6.577972317364605,-592.1199092318607,290.26707947069747,28.57721445556635,-668.2487056132848,354.2821716406329
5,2387336,-31.645711814817147,-51.2406433070215,-1.864290800746674,-16.434404260119333,-108.28564100324395,105.36681567010919,158.54114994495245,-48.5379278077276,447.468158733065,99.86837357754524,-108.67037545009882,371.1941862001878,-8.66706994957243,-81.91581736914922,37.341903271212125,112.17265803540647,-11.360348875624116,185.5014020944701,240.07547433373605,101.40086807482666,346.6002886548066,247.20506161665216,107.72394893751171,353.27695835754383
6,394208,-23.912214201073887,-33.2983746302115,-14.091160960137818,-72.96520380794989,-258.2947135057761,-27.33533138942547,-112.33648194100903,-3178.8231390880446,2.0523540552725796,-116.75795037795274,-572.6297266234006,-30.34212599443973,-105.56590339321217,-516.662737204952,-14.920990414421828,-172.79329480582328,-3129.069759486701,1.4906656484551664,-199.67707801493387,-24325.918846475415,45.27941865434874,-229.544082061194,-17788.402067350755,39.35771604671405
